Mean Power,Peak Power,Energy,Hamming Distance,Label,Predicted Label
0.054188869,0.155035,3.263519965,10,Attack,Attack
0.053184362,0.076953,2.981377958,0,Normal,Normal
0.060612425,0.16416,4.196134264,6,Attack,Attack
0.05308564,0.074685,2.950641561,0,Normal,Normal
0.052517165,0.162939,3.22106573,7,Attack,Attack
0.053879434,0.077923,3.064953965,0,Normal,Normal
0.056435355,0.161007,3.596246471,9,Attack,Attack
0.05404723,0.07568,3.073823776,0,Normal,Normal
0.050818854,0.151163,2.991057589,11,Attack,Attack
0.05233068,0.079699,2.8879854,0,Normal,Normal
0.057588937,0.160597,3.864588634,8,Attack,Attack
0.053954051,0.076171,3.055554257,0,Normal,Normal
0.052030086,0.170908,3.16817101,7,Attack,Attack
0.050304216,0.079848,2.69810265,0,Normal,Normal
0.056746638,0.159485,3.601321505,7,Attack,Attack
0.052934401,0.07941,2.998249965,0,Normal,Normal
0.055074443,0.161328,3.342044509,9,Attack,Attack
0.053085633,0.077153,2.969298026,0,Normal,Normal
0.059087993,0.167183,4.043510078,10,Attack,Attack
0.052184109,0.076223,2.876697718,0,Normal,Normal
0.058082289,0.165046,3.860836615,7,Attack,Attack
0.053776886,0.075586,3.036955644,0,Normal,Normal
0.054300754,0.167858,3.303516003,6,Attack,Attack
0.051964291,0.079996,2.872100222,0,Normal,Normal
0.055441171,0.161733,3.47445999,7,Attack,Attack
0.052520751,0.077011,2.912217605,0,Normal,Normal
0.054391072,0.162201,3.330203332,9,Attack,Attack
0.052849191,0.079629,2.956110166,0,Normal,Normal
0.056592609,0.172788,3.611977448,6,Attack,Attack
0.053002927,0.075171,2.970426434,0,Normal,Normal
0.055255927,0.165869,3.51822628,5,Attack,Attack
0.052478991,0.075334,2.922272529,0,Normal,Normal
0.057107297,0.17148,3.798134396,9,Attack,Attack
0.053975866,0.080151,3.086214318,0,Normal,Normal
0.056824332,0.163545,3.623459147,9,Attack,Attack
0.055259493,0.080903,3.217913056,0,Normal,Normal
0.054144342,0.161124,3.307569156,6,Attack,Attack
0.050887374,0.072113,2.727912574,0,Normal,Normal
0.055392148,0.162217,3.483762702,7,Attack,Attack
0.053329587,0.074219,2.996829439,0,Normal,Normal
0.053820424,0.166383,3.291219952,9,Attack,Attack
0.050133482,0.07435,2.656600334,0,Normal,Normal
0.056799205,0.163231,3.698474994,9,Attack,Attack
0.054033877,0.077708,3.078122717,0,Normal,Normal
0.058613446,0.163986,3.953854086,10,Attack,Attack
0.054518963,0.074921,3.12587574,0,Normal,Normal
0.054011153,0.154955,3.365924142,7,Attack,Attack
0.048761797,0.075629,2.515008493,0,Normal,Normal
0.053165512,0.165029,3.283901005,6,Attack,Attack
0.05022927,0.071727,2.683272837,0,Normal,Normal
0.05451779,0.161871,3.494066099,6,Attack,Attack
0.052704524,0.078389,2.945796245,0,Normal,Normal
0.054530238,0.163461,3.312488023,5,Attack,Attack
0.04995201,0.077843,2.653758758,0,Normal,Normal
0.053345276,0.158522,3.202832986,8,Attack,Attack
0.051614175,0.071289,2.807741754,0,Normal,Normal
0.056415781,0.15637,3.564506459,10,Attack,Attack
0.052613834,0.074248,2.922621359,0,Normal,Normal
0.053167463,0.154571,3.203040088,6,Attack,Attack
0.052507729,0.076032,2.901871332,0,Normal,Normal
0.057133267,0.166203,3.695617875,7,Attack,Attack
0.052127373,0.07596,2.888244407,0,Normal,Normal
0.054438325,0.168991,3.359798317,10,Attack,Attack
0.052350816,0.069096,2.864611611,0,Normal,Normal
0.056981719,0.1573,3.664532262,6,Attack,Attack
0.051749776,0.069905,2.798411044,0,Normal,Normal
0.053983472,0.161257,3.391268477,7,Attack,Attack
0.055154207,0.078027,3.177024769,0,Normal,Normal
0.058685417,0.151202,3.780610857,9,Attack,Attack
0.054490519,0.079179,3.136224392,0,Normal,Normal
0.054221768,0.162022,3.331766648,11,Attack,Attack
0.055139692,0.076433,3.213891936,0,Normal,Normal
0.053809256,0.160084,3.385134456,8,Attack,Attack
0.054338508,0.076998,3.12764712,0,Normal,Normal
0.053913251,0.160053,3.316952118,7,Attack,Attack
0.049716013,0.071587,2.602441872,0,Normal,Normal
0.055304602,0.168439,3.55229103,10,Attack,Attack
0.05549476,0.074416,3.215901888,0,Normal,Normal
0.056818508,0.159636,3.667784178,9,Attack,Attack
0.052284374,0.079802,2.896426842,0,Normal,Normal
0.057483641,0.166403,3.733629507,7,Attack,Attack
0.053351786,0.078464,3.016228315,0,Normal,Normal
0.056783059,0.162697,3.599882773,8,Attack,Attack
0.05208692,0.075703,2.880305201,0,Normal,Normal
0.053712523,0.154738,3.245068336,9,Attack,Attack
0.053802334,0.07805,3.058652484,0,Normal,Normal
0.054525257,0.16309,3.390484381,7,Attack,Attack
0.05284939,0.073396,2.927979003,0,Normal,Normal
0.054912483,0.168725,3.551071115,7,Attack,Attack
0.05322039,0.075611,2.983922675,0,Normal,Normal
0.05454956,0.172411,3.454505248,8,Attack,Attack
0.050486626,0.070675,2.689173681,0,Normal,Normal
0.055129703,0.165055,3.518600272,8,Attack,Attack
0.05359523,0.076937,3.03887396,0,Normal,Normal
0.053923671,0.169497,3.246524027,8,Attack,Attack
0.051148256,0.069981,2.73888352,0,Normal,Normal
0.056716798,0.158908,3.691497888,7,Attack,Attack
0.051521749,0.073624,2.794008057,0,Normal,Normal
0.057640522,0.174504,3.795774385,10,Attack,Attack
0.052498059,0.073085,2.89718868,0,Normal,Normal
0.058614344,0.167642,3.929669811,8,Attack,Attack
0.052147534,0.073143,2.867989066,0,Normal,Normal
0.056671552,0.161602,3.641275123,8,Attack,Attack
0.051640296,0.078669,2.824010554,0,Normal,Normal
0.056265644,0.162051,3.543688255,7,Attack,Attack
0.051828638,0.077994,2.845231607,0,Normal,Normal
0.055578925,0.153631,3.53909179,9,Attack,Attack
0.053292776,0.079317,3.019350843,0,Normal,Normal
0.053997872,0.161866,3.363998333,9,Attack,Attack
0.050253198,0.071862,2.660895259,0,Normal,Normal
0.057721462,0.163084,3.704058299,9,Attack,Attack
0.050889581,0.079292,2.739421662,0,Normal,Normal
0.056594197,0.170026,3.791539974,11,Attack,Attack
0.053218811,0.077402,2.987931629,0,Normal,Normal
0.056800636,0.166581,3.698112315,9,Attack,Attack
0.051781596,0.07075,2.827981082,0,Normal,Normal
0.053680126,0.15177,3.351714218,8,Attack,Attack
0.052546676,0.07468,2.903883068,0,Normal,Normal
0.054176398,0.15813,3.312561527,7,Attack,Attack
0.050916859,0.077139,2.722130844,0,Normal,Normal
0.055570738,0.160251,3.465600313,9,Attack,Attack
0.056537061,0.080144,3.359980444,0,Normal,Normal
0.057951153,0.167512,3.877214022,8,Attack,Attack
0.05274159,0.078939,2.927947925,0,Normal,Normal
0.055974305,0.163738,3.584933345,6,Attack,Attack
0.052664067,0.077328,2.920590607,0,Normal,Normal
0.056824803,0.163475,3.700504801,7,Attack,Attack
0.052791849,0.073328,2.957666179,0,Normal,Normal
0.057544554,0.168763,3.789683928,10,Attack,Attack
0.052631577,0.079718,2.947299204,0,Normal,Normal
0.057705391,0.165333,3.815250653,9,Attack,Attack
0.053206531,0.075364,2.972313716,0,Normal,Normal
0.054519524,0.16611,3.460549536,8,Attack,Attack
0.051898412,0.073473,2.848944473,0,Normal,Normal
0.054560593,0.16265,3.4508024,8,Attack,Attack
0.051566582,0.068777,2.787103824,0,Normal,Normal
0.05610286,0.16271,3.667893026,8,Attack,Attack
0.051824825,0.077288,2.833062291,0,Normal,Normal
0.055977453,0.159631,3.580308481,10,Attack,Attack
0.055392193,0.0802,3.24038861,0,Normal,Normal
0.052044133,0.155857,2.962623204,8,Attack,Attack
0.052152062,0.077279,2.868219917,0,Normal,Normal
0.057214373,0.163351,3.694245588,6,Attack,Attack
0.055903616,0.0736,3.290267727,0,Normal,Normal
0.055276947,0.162652,3.47677414,8,Attack,Attack
0.051284679,0.079213,2.809524205,0,Normal,Normal
0.050385345,0.151897,2.735356978,6,Attack,Attack
0.052312775,0.080168,2.88890303,0,Normal,Normal
0.051703027,0.148637,2.975256543,9,Attack,Attack
0.051637941,0.071364,2.808065927,0,Normal,Normal
0.05433761,0.164873,3.37575496,9,Attack,Attack
0.051804002,0.07729,2.839820163,0,Normal,Normal
0.054658258,0.177092,3.604866214,8,Attack,Attack
0.052597785,0.078707,2.928689313,0,Normal,Normal
0.054606215,0.165087,3.270455595,6,Attack,Attack
0.049354851,0.067481,2.549988982,0,Normal,Normal
0.057477823,0.150572,3.647501127,6,Attack,Attack
0.050401952,0.072615,2.708172653,0,Normal,Normal
0.053404776,0.165443,3.323236586,8,Attack,Attack
0.053732433,0.079452,3.044856294,0,Normal,Normal
0.057093454,0.163318,3.732721553,7,Attack,Attack
0.052540491,0.072674,2.915858764,0,Normal,Normal
0.055298867,0.165724,3.511244146,7,Attack,Attack
0.051155704,0.072532,2.744927635,0,Normal,Normal
0.054857111,0.160311,3.453907314,7,Attack,Attack
0.052059208,0.068114,2.848060074,0,Normal,Normal
0.05545507,0.157069,3.420663294,11,Attack,Attack
0.052401583,0.073327,2.885027124,0,Normal,Normal
0.054282804,0.156518,3.363145666,11,Attack,Attack
0.051767816,0.074764,2.837871579,0,Normal,Normal
0.05587962,0.153664,3.566322011,8,Attack,Attack
0.05255412,0.071491,2.8928974,0,Normal,Normal
0.054781652,0.167245,3.421503568,10,Attack,Attack
0.054369343,0.080195,3.135247683,0,Normal,Normal
0.0564151,0.162138,3.631512721,5,Attack,Attack
0.053809962,0.073501,3.063431159,0,Normal,Normal
0.057118762,0.159954,3.801827239,8,Attack,Attack
0.054196444,0.074782,3.099375243,0,Normal,Normal
0.058759882,0.168173,3.817677537,12,Attack,Attack
0.050101538,0.07283,2.630155016,0,Normal,Normal
0.055382408,0.169345,3.538647677,7,Attack,Attack
0.051719727,0.072351,2.832507154,0,Normal,Normal
0.055460581,0.150831,3.510356085,9,Attack,Attack
0.048547955,0.07351,2.500656542,0,Normal,Normal
0.055522268,0.164013,3.62628268,6,Attack,Attack
0.055675828,0.075406,3.25915019,0,Normal,Normal
0.054265124,0.161513,3.421773312,8,Attack,Attack
0.054574997,0.078927,3.149722361,0,Normal,Normal
0.05647753,0.165924,3.628678101,8,Attack,Attack
0.050265652,0.076409,2.675038437,0,Normal,Normal
0.055018472,0.167365,3.402819487,12,Attack,Attack
0.052110048,0.0715,2.846175352,0,Normal,Normal
0.05591256,0.161161,3.447757392,12,Attack,Attack
0.050981512,0.074128,2.752056098,0,Normal,Normal
0.05631348,0.168925,3.525227711,7,Attack,Attack
0.055442544,0.078621,3.236586475,0,Normal,Normal
0.051992314,0.16683,3.070952039,9,Attack,Attack
0.054015683,0.072808,3.076278968,0,Normal,Normal
0.056406895,0.170473,3.682535077,10,Attack,Attack
0.052490417,0.076503,2.913053663,0,Normal,Normal
0.054948765,0.144551,3.366258105,9,Attack,Attack
0.052776462,0.075109,2.943172388,0,Normal,Normal
0.053967396,0.163712,3.294610791,8,Attack,Attack
0.053911921,0.079187,3.072594859,0,Normal,Normal
0.056795356,0.168082,3.583076485,7,Attack,Attack
0.053235646,0.074363,3.005955862,0,Normal,Normal
0.05645103,0.157701,3.662287126,8,Attack,Attack
0.05433555,0.078045,3.108065823,0,Normal,Normal
0.054483692,0.15853,3.32793381,9,Attack,Attack
0.054194812,0.075308,3.074963781,0,Normal,Normal
0.058063983,0.162757,3.858514648,5,Attack,Attack
0.050139827,0.069103,2.651874638,0,Normal,Normal
0.052576649,0.173271,3.198012,6,Attack,Attack
0.051653496,0.070272,2.802627208,0,Normal,Normal
0.055306841,0.162677,3.477191974,7,Attack,Attack
0.050615287,0.07616,2.712667243,0,Normal,Normal
0.056356389,0.160127,3.612744135,8,Attack,Attack
0.054364046,0.078536,3.128951987,0,Normal,Normal
0.055634216,0.159234,3.470741606,11,Attack,Attack
0.056201223,0.079141,3.340403134,0,Normal,Normal
0.05552502,0.167837,3.550375116,9,Attack,Attack
0.051539289,0.073915,2.827686861,0,Normal,Normal
0.053894674,0.158867,3.236441744,8,Attack,Attack
0.054298817,0.079335,3.106860595,0,Normal,Normal
0.055806437,0.17104,3.578085946,7,Attack,Attack
0.051969046,0.072556,2.845636127,0,Normal,Normal
0.058636023,0.173574,3.940996573,7,Attack,Attack
0.053389642,0.07499,3.018425491,0,Normal,Normal
0.056126272,0.163917,3.565433831,9,Attack,Attack
0.051199934,0.075867,2.794409167,0,Normal,Normal
0.056004793,0.163551,3.599860448,8,Attack,Attack
0.05150815,0.074185,2.817647303,0,Normal,Normal
0.058597719,0.164125,3.947480759,10,Attack,Attack
0.052275,0.077139,2.886246298,0,Normal,Normal
0.053384726,0.162476,3.245714313,8,Attack,Attack
0.054597241,0.078636,3.13216873,0,Normal,Normal
0.056710607,0.166013,3.707963405,8,Attack,Attack
0.05446028,0.074525,3.122490201,0,Normal,Normal
0.054062525,0.158166,3.282625246,7,Attack,Attack
0.053725681,0.077928,3.043166131,0,Normal,Normal
0.050988087,0.145618,2.953366186,8,Attack,Attack
0.053069807,0.077076,3.004928164,0,Normal,Normal
0.055406637,0.169967,3.491971947,10,Attack,Attack
0.051234235,0.069782,2.757823465,0,Normal,Normal
0.056911109,0.163542,3.776679123,9,Attack,Attack
0.051196778,0.064941,2.739823364,0,Normal,Normal
0.055050876,0.162469,3.450368815,6,Attack,Attack
0.053747393,0.080759,3.05648284,0,Normal,Normal
0.055263468,0.173998,3.437798352,7,Attack,Attack
0.056114123,0.074876,3.307049134,0,Normal,Normal
0.053737712,0.16189,3.341246921,4,Attack,Attack
0.052432533,0.068908,2.893758644,0,Normal,Normal
0.056347458,0.161117,3.743678595,8,Attack,Attack
0.052331968,0.08053,2.918505422,0,Normal,Normal
0.057616254,0.171498,3.819941354,10,Attack,Attack
0.057064533,0.076827,3.41268307,0,Normal,Normal
0.056692178,0.158465,3.757959322,6,Attack,Attack
0.053331938,0.07704,2.987758499,0,Normal,Normal
0.055296883,0.163132,3.359957749,5,Attack,Attack
0.051875305,0.076882,2.853257078,0,Normal,Normal
0.05454259,0.156389,3.341106134,7,Attack,Attack
0.050549097,0.076659,2.731036556,0,Normal,Normal
0.060170148,0.1617,4.239870104,11,Attack,Attack
0.053714724,0.078575,3.075338753,0,Normal,Normal
0.057497891,0.161647,3.812569363,6,Attack,Attack
0.0529757,0.07503,2.962345633,0,Normal,Normal
0.055477463,0.165397,3.432491125,10,Attack,Attack
0.0487789,0.069938,2.520238397,0,Normal,Normal
0.057905908,0.159333,3.801204354,6,Attack,Attack
0.051177541,0.076782,2.775975782,0,Normal,Normal
0.056314781,0.163439,3.750533123,7,Attack,Attack
0.051220443,0.079345,2.778867506,0,Normal,Normal
0.056077457,0.158615,3.561385238,11,Attack,Attack
0.053546775,0.071984,3.005550277,0,Normal,Normal
0.056421853,0.159612,3.770822666,10,Attack,Attack
0.054347329,0.078822,3.149552935,0,Normal,Normal
0.057712543,0.164604,3.710784721,7,Attack,Attack
0.051862131,0.077683,2.849149211,0,Normal,Normal
0.054747103,0.168864,3.387813007,8,Attack,Attack
0.051898743,0.071246,2.811802442,0,Normal,Normal
0.052471229,0.161619,3.128154385,7,Attack,Attack
0.051596572,0.073481,2.825083215,0,Normal,Normal
0.053568802,0.160387,3.135286231,8,Attack,Attack
0.053123903,0.072129,2.973722559,0,Normal,Normal
0.054538945,0.155819,3.400481737,8,Attack,Attack
0.050621479,0.075534,2.711208184,0,Normal,Normal
0.05582502,0.15533,3.641665,7,Attack,Attack
0.053677803,0.069144,3.006916053,0,Normal,Normal
0.057401399,0.170128,3.908018643,7,Attack,Attack
0.050635898,0.076704,2.715269008,0,Normal,Normal
0.06024555,0.163005,4.188373595,9,Attack,Attack
0.053836145,0.075353,3.044824507,0,Normal,Normal
0.055532336,0.152797,3.468368529,8,Attack,Attack
0.051560623,0.06981,2.787542661,0,Normal,Normal
0.055911616,0.169214,3.539848908,8,Attack,Attack
0.05302199,0.077026,3.008302438,0,Normal,Normal
0.057880688,0.178164,3.889205161,7,Attack,Attack
0.050219366,0.080617,2.700713545,0,Normal,Normal
0.05399782,0.166133,3.350558066,8,Attack,Attack
0.05209098,0.074343,2.853193566,0,Normal,Normal
0.053791174,0.157068,3.293899032,7,Attack,Attack
0.053555567,0.073289,3.0221246,0,Normal,Normal
0.05366805,0.158506,3.219289423,9,Attack,Attack
0.054773346,0.076558,3.179989508,0,Normal,Normal
0.055522723,0.163566,3.538958125,10,Attack,Attack
0.05266879,0.07124,2.93590592,0,Normal,Normal
0.05739847,0.169786,3.785943793,7,Attack,Attack
